,0.9,VM,my_lim,actual,percent
2013-09-29 21:29:00,221.2824707031,103,321.2824707031,,
2013-09-29 21:30:00,219.8646392822,103,319.86463928219996,11703.99914,2.732951664265074
2013-09-29 21:31:00,223.8402404785,103,323.8402404785,11703.99914,2.7669195512133298
2013-09-29 21:32:00,228.5090179443,103,328.5090179443,11703.99914,2.806809997290379
2013-09-29 21:33:00,221.9311981201,103,321.9311981201,11703.99914,2.7506085250797447
2013-09-29 21:34:00,226.0936584473,103,326.09365844729996,11703.99914,2.7861729529082995
2013-09-29 21:35:00,222.5364074707,103,322.5364074707,11703.99914,2.755779487101876
2013-09-29 21:36:00,226.8282775879,103,326.8282775879,11703.99914,2.792449603579687
2013-09-29 21:37:00,229.6331787109,103,329.6331787109,11703.99914,2.8164149259404336
2013-09-29 21:38:00,233.1383666992,103,333.1383666992,11703.99914,2.8463635609870694
2013-09-29 21:39:00,236.7861785889,103,336.7861785889,11703.99914,2.8775307872151807
2013-09-29 21:40:00,233.8738250732,103,333.8738250732,11703.99914,2.8526473821425795
2013-09-29 21:41:00,230.2302093506,103,330.23020935060003,11703.99914,2.821516008335934
2013-09-29 21:42:00,229.5101013184,103,329.51010131839996,11703.99914,2.8153633418534234
2013-09-29 21:43:00,219.7867431641,103,319.7867431641,11703.99914,2.7322861129678793
2013-09-29 21:44:00,223.2136993408,103,323.21369934079996,11703.99914,2.7615663285224743
2013-09-29 21:45:00,221.7937011719,103,321.7937011719,11703.99914,2.7494337390381935
2013-09-29 21:46:00,218.9921875,103,318.9921875,11703.99914,2.725497359358145
2013-09-29 21:47:00,221.2205963135,103,321.2205963135,11703.99914,2.744537080626443
2013-09-29 21:48:00,216.657333374,103,316.657333374,11703.99914,2.705548159959964
2013-09-29 21:49:00,223.5227661133,103,323.5227661133,11703.99914,2.7642070222614525
2013-09-29 21:50:00,223.511138916,103,323.511138916,11703.99914,2.764107678463141
2013-09-29 21:51:00,226.3429107666,103,326.34291076659997,11703.99914,2.7883025866883306
2013-09-29 21:52:00,219.7081298828,103,319.7081298828,11703.99914,2.731614434165107
2013-09-29 21:53:00,219.8215332031,103,319.8215332031,11703.99914,2.7325833621267677
2013-09-29 21:54:00,218.7154846191,103,318.71548461910004,11703.99914,2.7231331855608802
2013-09-29 21:55:00,229.1657867432,103,329.1657867432,11703.99914,2.8124214877821667
2013-09-29 21:56:00,220.8047180176,103,320.8047180176,11703.99914,2.7409837798193823
2013-09-29 21:57:00,223.5854949951,103,323.5854949951,11703.99914,2.764742983355175
2013-09-29 21:58:00,222.0065002441,103,322.00650024410004,11703.99914,2.7512519130627693
